u001,A1,2019-09-02 10:10:11,1,北京市
u002,A1,2019-09-02 10:11:11,1,辽宁省
u001,A1,2019-09-02 10:11:11,2,北京市
u001,A1,2019-09-02 10:11:30,3,北京市
u002,A1,2019-09-02 10:12:11,2,辽宁省
u003,A2,2019-09-02 10:13:11,1,山东省
u003,A2,2019-09-02 10:13:20,2,山东省
u003,A2,2019-09-02 10:14:20,3,山东省
u004,A1,2019-09-02 10:15:20,1,北京市
u004,A1,2019-09-02 10:15:20,2,北京市
u005,A1,2019-09-02 10:15:20,1,河北省
u001,A2,2019-09-02 10:16:11,1,北京市
u001,A2,2019-09-02 10:16:11,2,北京市
u002,A1,2019-09-02 10:18:11,2,辽宁省
u002,A1,2019-09-02 10:19:11,3,辽宁省
